Le Havre
St Ursanne
Courgenay
Porrentruy
Courchavon
Courtemaiche
Buix
Boncourt
Delle
Joncherey
Grandvillars
Morvillars
Meroux
Moutier
Grenchen Nrd
Biel
Chamousset
Aiguebelle
Epierre-St-Léger
St-Avre-la-Chambre
St-Jean-de-Maurienne-A.
St-Michel-Valloire
Modane
St-Gervais-L-B-Le-Fayet
Chedde
Servoz
Vaudagne
Viaduc-Ste-Marie
Les Houches
Taconnaz
Les Bossons
Les Pèlerins
Les Moussoux
Chamonix-Aiguille-Midi
Chamonix-Mont-Blanc
Les Praz-de-Chamonix
Les Tines
Lajoux
Argentière (Hte-Savoie)
Montroc-le-Planet
Le Buet
Vallorcine
Mons
Lille Flandres
Croix Wasquehal
Croix l'Allumette
Roubaix
Tourcoing
Mouscron / Moeskroen
Courtrai/Kortrijk
Charleroi Sud
Namur
Tournai
Froyennes.
Baisieux
Ascq
Pont de Bois
Lezennes
Ussel
Meymac
Egletons
Corrèze
Tulle
Aubazine-St-Hilaire
Brive-la-Gaillarde
Montchanin
Blanzy
Montceau-les-Mines
Galuzot
Ciry-le-Noble
Génelard
St-Agnan
Le Creusot
Nice-Pont-Michel
La Trinité-Victor
Drap-Cantaron
Halte-De-Fontanil
Peillon-Ste-Thècle
Peille
L'Escarène
Touet-de-l'Escarène
Sospel
Breil-sur-Roya
Fontan-Saorge
St-Dalmas-de-Tende
La Brigue
Tende
L'Ariane-la-Trinité
Annemasse
Chêne-Bourg
Genève Eaux-Vives
Genève-Champel
Lancy Bachet
Lancy-Pont-Rouge
Genève
Genève-Sécheron
Chambésy
Les Tuileries
Genthod-Bellevue
Creux-de-Genthod
Versoix
Pont-Céard
Mies
Tannay
Coppet
Decize
Imphy
Machilly
Bons-en-Chablais
Perrignier
Thonon-les-Bains
Evian-les-Bains
Reignier
La Roche-sur-Foron
Groisy-Thorens-la-Caill
Pringy
St-Pierre-en-Faucigny
Bonneville
Marignier
Cluses (Hte-Savoie)
Magland
Sallanches-Comb.Megève
Forbach
Bening
Hombourg-Haut
St-Avold
Faulquemont
Rémilly
Metz-Ville
Haguenau
Schweighouse-(Villa)
Schweighouse (Bas-Rhin)
Mertzwiller (Moulin)
Mertzwiller
Gundershoffen
Gundershoffen (cygne)
Reichshoffen-Usines
Reichshoffen-Ville
Niederbronn (Archéo)
Niederbronn-H.-de-Ville
Niederbronn
Niederbronn (Usine)
Philippsbg-Falkenstein
Philippsbourg (Lieschb)
Bannstein
Eguelshardt-(-Abri-)
Bitche
Bitche-Quartier-Driant
Bitche-Camp
Strasbourg
Hoerdt-(Mairie)
Weyersheim-R-République
Bischwiller
Kaltenhouse-Rue-Bischwi
Soultz-sous-Forêts
Wissembourg
Bouxwiller-Schattenmann
Bouxwiller-Centre-Ville
Bouxwiller-Clos-des-S.
Obermodern
Pfaffenhoffen-Républiqu
Pfaffenhoffen-(Mairie).
La-Walck-Monument
Niedermodern/Uberach
Neubourg-(Eglise).
Schweighouse-M.-Leclerc
Schweighouse-Eglise-P.
Haguenau-Moulin-Neuf.
Neuwiller-R.-Bouxwiller
Neuwiller-(Pharmacie)
Dossenheim-Lotissement
Dossenheim-(Mairie)
Saverne
Ingwiller
Menchhoffen-(Abri)
Saverne-(Lycée-Verne)
Saverne-(Pl.-Dragons)
Saverne-(Ht-Barr)
Uttwiller-R-Principale.
Bouxwiller-Babenhausen
Sélestat
Benfeld
Erstein
Fegersheim-Lipsheim
Colmar
Herrlisheim-près-Colmar
Rouffach
Rouffach-(CHS)
Merxheim
Merxheim-(Pl.-CDG)
Raedersheim
Buswiller-Eglise
Ettendorf-(Angle-Pont)
Ettendorf-Gare-Routière
Alteckendorf-Abri
Alteckendorf-Mairie
Alteckendorf-Eckendorf
Minversheim-Rue-Princip
Mommenheim
"Ettendorf-Pl,-de-L'ecol"
Diemeringen
Oermingen
Sarreguemines
Adamswiller-(Mairie).
Adamswiller Lot. forêt.
Tieffenbach-Struth
Frohmuhl- (Lavoir)
Col-De-Puberg
Wingen-sur-Moder
Wimmenau-(D919 R/Gar)
Wimmenau-(Centre).
Wimmenau
Reipertswiller-SP.
Lichtenberg-(Eglise).
Lichtenberg-(Picardie)
Stephansfeld-(Hopital).
Brumath-(Mairie).
Schwindratzheim-Leclerc
Hochfelden
Wilwisheim-(Hte Montée)
Dettwiller
Lutzelbourg
Kruth
Oderen-(La-Poste).
Fellering-(Eglise).
Wesserling
Ranspach-Anc.-Fonderie.
St-Amarin-Hotel-Cheval.
Malmerspach-Rond-Point.
Moosch-(Mairie).
Willer-/-Thur-(Mairie).
Bitschwiller-/-T-Mairie
Thann-Saint-Jacques
Thann Arrêt La Poste
Mulhouse
Dornach-Incorporation
Lutterbach (Haut-Rhin)
Cernay (Haut-Rhin)
Cernay-(Eglise).
Vieux-Thann-Park.-Gare.
Thann
Metzeral
Muhlbach/Munster-Mairie
Breitenbach-Breit's-Bar
Luttenbach-(Fronzel).
Luttenbach-R-Principale
Munster
Munster-D417-Badischhof
Gunsbach-Restaurant.
Wihr-Soultz-D-417.
Walbach-La-Forge Abri
Turckheim-P.-République
Logelbach-Arrêt-Hirn
Colmar-St-Jo-VSG
Sewen-(Eglise)
Sewen-(11-Gd-Rue)
Dolleren-(Mairie)
Oberbruck-(Rest.Ast)
Wegscheid-(Numéro-64)
Kirchberg-(Café-Rose)
Kirchberg-(Lotissement)
Niederbruck-Centre
Sickert-(Abri)
Masevaux-Off.-Tourisme
Masevaux-(Pharmacie)
Masevaux-Café-Sports
Lauw-numéro-20
Lauw-(Cimetère)
Sentheim-Gge-Renault
Sentheim-(Eglise)
Sentheim-M.-de-Repos
Guewenheim-Café-2-clés
Burnhaupt-Ht- Café/Gare
Burnhaupt-Ht-Gendarmeri
Aspach-Bs-Malakov
Aspach-le-Haut-(gare)
Aspach-le-Haut-D103/34
Cernay-(St André)
Cernay-(Lycée)
Basel-SBB
St-Louis (Haut-Rhin)
Bartenheim-(Pharmacie).
Sierentz-Rest.-Soleil.
Habsheim
Rixheim-Arrêt-Barrière.
Rosteig-Mon.-Aux-Morts
Wingen-sur-Moder-Mairie
Monswiller-(Rue-Haute)
Monswiller-(Zornhoff)
Steinbourg-Rte-Saverne
Steinbourg-(Mairie)
Steinbourg-Ernolsheiml
Hattmatt-(Mairie)
Hattmatt-S.-Polyvalente
Saverne-(Lycée-Sources)
Bischheim-Arrêt-CTS-R.G
Hoenheim-Tram
La Wantzenau
Kilstett-Rue-de-la-Gare
Gambsheim-Peugeot.
Gambsheim-(Poste).
Gambsheim
Herrlisheim (Bas-Rhin)
Roeschwoog
Seltz
Lauterbourg
Entzheim-Aéroport
Barr
Obernai-Passage-Niveau.
Rosheim
Molsheim
Duppigheim
Duttlenheim-Ernolsheim-
Dachstein
Dorlisheim
Rosheim-Maison-Enfance.
Bischoffsheim
Goxwiller
Gertwiller
Scherwiller rue Gare
Dambach-la-Ville
Epfig-Eglise-/-RN.
Eichhoffen-Gare.
Mutzig-Passage-A-Niveau
Mutzig-Porte-Ctre.
Gresswiller-(Abri).
Heiligenberg-Mollkirch
Urmatt
Lutzelhouse-Abri-Eglise
Wisches-(Abri-Eglise).
Russ-Hersbach
Schirmeck-la-Broque
Rothau
St-Blaise-Roche-Poutay
Saales-(Mairie).
Saales
Altkirch
Illfurth-Croisement-Gar
Zillisheim-(Mohn)
Dannemarie
Montreux-Vieux
Belfort-Ville
Petit-Croix
Guémar-Rd-Point-Sony
Ribeauville-Gare-Routiè
Kintzheim-(Cigoland)
Kintzheim-Mairie
Orschwiller-Chapelle
St-Hippolyte-Hot-Munsch
St-Hippolyte-Parc-Walte
Rorschwihr-Mairie
Bergheim-Porte-Haute
Zellenberg-Route-du-Vin
Riquewihr-Poste
Ste-Marie-/-Mines-Maire
Ste-Marie-/-Ms-Pl-.CdG
Ste-Marie/-Ms-(-Théâtre
Ste-Marie-/-Ms-(-Super-
Ste-Marie-/-Ms-S.Techni
Ste-Croix/Mines-Sq-de-G
Ste-Croix-Ms-Centre
Ste-Croix/Mines-Stimbac
Liepvre-(-Musloch-)
Liepvre-(-R.-GUTH-)
Lièpvre-(Pharmacie)
Châtenois-V.-Villé-Gare
Châtenois-(Gare)
Sélestat-R-S-Marie-/-Ms
Lièpvre-(Centre)
Ste-Marie-/-Ms-(Musées)
Raves-(Ancienne-Gare)
Remomeix-(Abri)
Ste-Marguerite-Village
Ste-Marguerite-(Cora)
Saint-Die-Rue-D'Alsace
St-Dié-des-Vosges
Rombach-Le-F-(Pl-Fêtes)
Rombach-Le-F-(Scierie)
Lièpvre-R.-Vieux-Moulin
Sélestat-(Schweisguth)
Selestat-(Koeberlé)
Sèlestat-(Schwilgué)
Lièpvre-Bois-Abbesse-ZI
Lièpvre-(Rte-Vancelle)
La-Vancelle-(Centre)
La-Vancelle-(hurst)
Liepvre-(-Ecoles-)
Montluçon-Ville
Vallon-en-Sully
St-Amand-Montrond-Orval
Laqueuille
St-Sauves-Bourg
La-Bourboule-Centre
La Bourboule
Le-Mont-Dore-Centre
Le-Mont-Dore-Gare
Clermont-Ferrand
Riom-Châtel-Guyon
Pontmort RN9/D17
Aigueperse
Gannat-Lycée-Eiffel
Gannat
Gannat-Lycée-Procule
St-Denis-près-Martel
Puybrun
Bretenoux-Biars
Laroquebrou
Aurillac
Le Rouget
Maurs
Bagnac
Figeac
Capdenac
Vichy
Commentry
Lezoux
Pont-de-Dore
Thiers
Chabreloche-Pont-Bascul
Noirétable
Saint-Etienne-Chtx GR
Boën
Montbrison
Bonson
Issoire
Le Breuil-sur-Couze
Jumeaux
Brassac-les-Mines
Arvant
Brioude
Paulhaguet
St-George-d'Aurac-Bourg
Fix-St-Geneys-RN102.
Coubladour-Rond-Point
Le Puy-en-Velay
Lapeyrouse(Puy-de-Dôme)
MONTLUCON LEM
Massiac-Blesle
Neussargues
Murat (Cantal)
Le Lioran
Vic-sur-Cère
Varennes-sur-Allier
St-Germain-des-Fossés
Aulnat-Aéroport
Pont-du-Château
Vertaizon
Volvic
Durtol-squa-sabourin.
Royat-T2C-Beausite.
Clermont-Uni-T2C.
Ancizes-St-Georges-Bour
Ancizes-St-Georges-Usin
St-Georges-Mons-Ecoles
Paugnat-Eglise
Moulet-Marcenat
Urcay-Hotel-du-Lyon-d'O
Meaulne-Place-Centrale
La Grave-Carrefour
Reugny
Ville-Gozet-Henri-Dunan
St-Eloy
Montaigut-en-Combraille
Neris les Bains Place
St-Eloy-les-Mines-Lycée
St-Gervais-Ch-LPA.
St-Gervais-Mairie
Le Mont Dore Ski
St-Flour-les-Allées
St-Flour-Chaudes-Aigues
St-Chély-d'Apcher
Rochefort-Montagne
Tauves
Lanobre
Bort-les-Orgues
Bort-les-Orgues-Ville
Quatre-Routes-de-Saigne
Ydes
Vendes
Mauriac
Mauriac-Lycée-Cortat
Chateauneuf-Lamontgie
Manzat
Chatel-Guyon-Tourisme
Ste-Anastasie
Allanche
Landeyrat
Marcenat
Feniers
vely
St-Amandin
Riom-es-Montagne-Cliniq
Riom_Es_M_la_Poste.
Talizat
Roueyre
Andelat
Le Vauriat
Pontgibaud-Ville
Brioude-Lycée-Lafayette
Langeac
St-Georges-d'Aurac
Paulhaguet-Monument
La Chomette
Vieille-Brioude
Le Puy-Lafayette
Puy-en-Velay-Hopital
Borne
Lanthénas
Sainte-Eugenie-de-Ville
St-Eble
Le Treuil
Bas-Monistrol
Saint-Paulien
La Chaise-Dieu
Ambert
Ambert-Ville
Marsac-en-Livradois
Arlanc-Place-Eglise
Dore-Eglise
Sembadel
Monlet
Allègre
Allegre-Maison-Retraite
Serres-Hte-Loire
Céaux-d'Allègre
Darsac
Darsac-Lotissement
Freyssenet
Coubladour
Le Puy-en-Velay-Hermit.
Le-Puy-en-Velay-Fayolle
Vertolaye
Olliergues
Giroux
Courpière
Néronde
Pont-de-Dore-le-Chambon
Thiers-le-Moutier
Thiers-Ville-Mairie
Thiers-Lycée
Chauprillade-(La)
La-Croix-St-Bonnet
Puy-Guillaume-Emmaüs
Puy-Guillaume-Ville
Ris-Abris-Bus
Mariol
St-Yorre-Croix-des-Vern
St-Yorre-Nouvel-Hotel
Abrest Mairie
Bourg-Lastice-Pl.-Poste
Eygurande-Merlines
Brassac-les-Mines-Ly-Ra
St-Florine-Place-F-Mitt
Ste-Florine-Lycée-C-fav
Arrest-Usine-Mélius
Vic-le-Comte
Parent-Coudes-Champeix
Issoire-Lycée-Murat
Issoire-Lycée-Deville
Le-Breuil-sur-Couze-Lyc
Le Breuil/Couzes-S.-Fêt
Luzy(Nièvre)
Luzy-Ville
Rémilly Le Charnay Pont
Fours
Cercy-la-Tour
Sougy-BIF-N81-D262
Béard
St-Eloi-Eglise
Decize-Café-Bel-Aire
Decize-Ville
Béard-Bourg
Imphy-Square-Lamartine
Nevers-Petit-Canal
Nevers-Mouesse-ANPE
Autun
Brion-Laisy-Mairie
Brion-Laizy
Etang
St-Pierre-le-Moûtier
Chantenay-Imbert-Bourg
Chantenay-St-Imbert
Villeneuve-/-Allier-Cen
Montbeugny-Centre
Thiel-Sur-Acolin-Bus
Diou-ville-Allier-(Bus)
Perrigny-sur-Loire
Chauffailles-Gambetta
La Chapelle-sous-Dun
St-Symphorien-des-Bois
Dyo
Le-Guidon
Changy-Tourny-Monument
Charolles
Digoin-Lycée
Chatillon-d'Azergues
Chessy (Rhône)
Ternand
Letra-Gabodière
Chamelet-Centre.
Chambost-Allières.
Grandris-Folletière.
Lamure-Collège
St-Nizier-d'Azergues
Poule
Poule-Mairie
Louhans
Mervans
Seurre
Bourg-en-Bresse
Avallon
Sermizelles-Vézelay
Voutenay-/-Cure-Mairie
Arcy-sur-Cure
Lucy-Sur-Cure-RD-606
Vermenton
Accolay-Le-Pont
Vincelles
Auxerre-St-Gervais
Clamecy
Coulanges-Sur-Yonne
Châtel-Censoir
Mailly-la-Ville
Cravant-Bazarnes
Tannay-Place-Eglise
Flez-Cuzy-Tannay
Corbigny
Quimperlé
Lorient
Janzé
Le Theil-de-Bretagne
Retiers
Martigné-Ferchaud
Châteaubriant
Dinan
Dol
Luçay-le-Male
La Gauterie
Valençay
La Ferté-Imbault
Selles-St-Denis
Loreux
Villeherviers
Faubourg-d'Orléans
Romorantin-Blanc-Argent
Les Quatre-Roues
Pruniers
Chabris
Varennes-sur-Fouzon
Sedan-Place-Calonne
Sedan
Wadelincourt
Pont-Maugis
Remilly-Aillicourt
Bazeilles
Douzy
Pouru-St-Rémy
Sachy
Wé
Carignan Rue Paix
Carignan
Blagny
Linay
Fromy
Margut-Fromy
Margut Village
La Ferté-sur-Chiers
Verdun
Clermont-En-Argonne-Cen
Les-Islettes-Centre
Ste-Ménéhould-Médiathèq
Suippes-Camp
Suippes-Garage
Châlons-en-Champagne
Vitry-le-François
Blesme-Haussignemont
Blesme-Centre
St-Eulien
Villiers-en-Lieu
St-Dizier
Joinville
Vecqueville
Chatonrupt
Curel
Chevillon
Rachecourt-sur-Marne
Gourzon
Bayard
Bienville
Eurville-Mairie
Marnaval-Eglise
St-Dizier-Godard-Jeanso
Chaumont
Vieville
Vraincourt-Vieville
Soncourt
Froncles
Gudmont-Centre
Rouvroy-sur-Marne
Donjeux
Fronville-Lotissement
Rupt
Vignory Centre
Vouécourt
Roôcourt-la-Côte
Bologne-Salle-des-Fêtes
Chaumont-Hôpital
Langres-Gendarmerie
Langres-Bel-Air
Langres-Boulière
Langres
Langres-St-Gilles
Langres-La-Maladière
Humes RN19
Chanoy
Rolampont-Mairie
Thivet
Vesaignes-sur-Marne
Marnay-sur-Marne
Foulain RN19
Luzy-sur-Marne
Chaumont-Quartier-Foch
Chaumont-Gendarmerie
Bar-sur-Aube
Vendeuvre (Aube)
Troyes
Juvancourt
Ville-sous-La-Ferté
Clairvaux D12
Forges-de-Clairvaux(Les
Bayel-Eglise
Bar-sur-Aube(Hôpital)
Bar-sur-Aube (HV)
Bar-sur-Aube(Piscine)
Ailleville
Arsonval
Bossancourt
Trannes
Jessains-Eglise
Vauchonvilliers-Mairie
Magny-Fouchard
Vendeuvre-Centre
La Villeneuve-Ch.RN19
Montiéramey-Eglise
Le Ménilot
Lusigny-sur-Barse Centr
Lusigny-sur-Barse RN19
Montaulin-vallée-Verte
Montaulin-Mairie
Daudes
Rouilly-St-Loup-D21
Rouilly-St-Loup-Guérade
St-Julien-Villas-Mairie
Troyes-Quennedey
Troyes(Bld 14 Juillet)
Troyes-Victor-Hugo
Villiers-le-Sec(Poste)
Villiers-le-Sec(Mairie)
Buxieres-les-Villiers
Bricon(la Poste)
Orges
Pont-la-Ville
Cirfontaines-en-Azois
Maranville-la-Poste
Longchamp-sur-Aujon
Troyes-Chambre-Commerce
Troyes-Lombards
Bouilly (Mairie)
Villery
St Jean Bonneval (Egl.)
Lirey-La-Chapelle
Longeville-Sur-Mogne-Ma
Machy
Jeugny (Eglise)
Fays-La-Chapelle
St Phal (Mon. Morts)
Chamoy-Carrefour D1/D23
Montigny-les-Monts-Mair
Auxon Eglise
Ervy-le-Châtel-Gare
Ervy-le-Châtel-Halle
Montfey
Villeneuve-au-Chemin
Coursan-en-Othe
Neuvy-Sautour-RN
St-Florentin-Ville
Brienon Mairie
Neuvy-Sautour
Troyes Théâtre Champ.
Troyes Pont Vert
Barberey-Centre-Comm
Barberey-Route-de-Méry
St-Lyé Maisons Brûlées
Saint-Lyé Mantenay
Saint-Lyé Église
Saint Lyé Gravières
Saint-Lyé Régales
Payns Église
Payns Mairie
Payns Abri Savières
Savières Arbre Liberté
Savière Impasse St-Phal
Savières Rue St-Gilles
Saint-Mesmin Gare SNCF
Fontaine L. Grés Mairie
Saint-Mesmin Monument
Saint-Mesmin Courlanges
Vallan-St-George Mairie
Mesgrigny Mairie
Méry-sur-Seine HdV
Châtres S. Polyvalente
Maizières Clairvaux
Maizières-la-Gde-P. Égl
Maizières-Gde-P. Tabac
Romilly-sur-Seine
Romilly-S/S SNCF
Romilly-S/S Hôpital
St-Hilaire-sous-Romilly
Crancey RN
Pont-S/S Fleming
Pont-sur-Seine S.Martin
Marnay-sur-Seine
Nogent-S/S De Gaulle
Nogent-sur-Seine-Théât.
Nogent-sur-Seine
Charleville-Mézières
Hirson
Reims
Muizon (PN32)
Jonchery-sur-Vesle
Breuil-Romain
Magneux-Courlandon
Fismes
Aillevillers
St-Loup-sur-Semouse
Luxeuil-les-Bains
Lure
Ronchamp
Champagney
Lons-le-Saunier
Montain-Lavigny
Voiteur-Halte-Routiere.
Domblans-Halte-Routier.
Passenans
St-Lothain
Poligny
Buvilly-Halte-Routiere.
Arbois (Jura)
Arc-et-Senans
Liesle
Byans
Dompierre-Halte-Rout.
Bouverans-Halte-Routier
La Rivière
Ste-Colombe
Les Granges-Narboz
Bonnevaux
Vaux-et-Chantegrue
Les Granges-Ste-Marie
Malbuisson
Les Longevilles-Rochej.
St-Antoine
Métabief
Les Hôpitaux-Neufs
Jougne
Champagnole
La Chaux-des-Crotenay
La Chaumusse-Fort-du-Pl
St-Laurent-en-Grandvaux
Morbier
Morez
Saint-Claude
Champagnole-PE-Victor
Andelot
Montbarrey
Alès
Nîmes
Langogne
Luc (Lozère)
La Bastide-St-Laurent
Mende
Bagnols-Chadenet
Allenc
Belvezet
Chasserades
Marvejols Place Chayla
Marvejols
Banassac-la-Canourgue
Sévérac-le-Château
Millau
Aumont-Aubrac
L'Habitarelle
Pradelles
Costaros
Chirac-Ville
Le-Monastier-Ville
Le Monastier
Les-Salelles-RN88
Chanac
Le-Bruel-RN88
Barjac
Balsieges-Arrêt-RN88
Quillan
Campagne-sur-Aude-Pont
Esperaza
Couiza-Montazels
Couiza-Ste-Anne
Alet-les-Bains
Limoux
Limoux-Flassian
Pomas-Lavoir
Carcassonne
Béziers
Magalas
Bédarieux
Gouzon-Champ-de-Foire
Parsac-Gouzon
Ajain
Guéret
Ussel-Place-Henri-Queui
St-Angel
Meymac-Bourg
Maussac Pl de la Poste
Maussac-le-Poteau
Egletons-ville
Rosiers-d'Egletons
Montaignac-St-Hippolyte
Eyrein
Mirecourt
Diarville-Place-Midon
Praye-sous-Vaudemont PN
Tantonville-Ligneville
Vézelise Beauregard
Ceintrey Eglise
Nancy-Ville
Mirecourt (Lycée Agric)
Mattaincourt-la-Poste
Hymont-Mairie
Rémoncourt Pl. Fêtes
Haréville-ss-Montf. Cte
Vittel
Contrexéville
Martigny-les-B-Thiebaut
Damblain Eglise
Rozières-sur-Mouzon
Lamarche (Vosges)
Lamarche-Centre-Arrêt
Martigny-les-Bains
Pont-St-Vincent
Ceintrey-Grp-Scolaire
Cocheren (Village)
Farébersviller (Moulin)
Farébersviller (Cité)
Théding
Ebring Croisement
Diebling-Forestière
Diebling-Centre.
Metzing
Hundling
Ippling
Welferding Rue D France
Sarreguemines (Poste)
Charmes (Vosges)
Igney (Centre)
Igney-Avricourt
Avricourt (Café St Nic)
Avricourt (Rue de Lorr)
Nouvel-Avricourt
Réchicourt-le-Château
Réchicourt-le-Chateau c
Gondrexange D. Ketzing
Gondrexange (Centre)
Hertzing
Héming-Mairie
Bébing
Sarrebourg (Verreries)
Sarrebourg
Sarrebourg-LP-Messmer
Longuyon
Longuyon (Pont-2-Eaux)
Longuyon (La Machine)
Viviers-sur-Chiers
La Roche-sous-Montigny
Montigny-sur-Chiers
Cons-la-Grandville
Cons-la-Grandville (Mo)
Cons-la-Grandville Lot.
Lexy
Lexy (Rue du Square)
Lexy (Providence-Usine)
Rehon-Poste
Rehon
Longwy-Route-de-Metz
Longwy-Espace-Bus
Longwy
Montmédy
Montmédy (Centre)
Ire-le-Sec
Marville Pl de l'Eglise
Jean-les-Longuyon (St)
Villers-le-Rond
Vezin-Carrefour
Charency-Carrefour
Vilette-Centre
Flabeuville (Carrefour)
Colmey-Flabeuville
Epiez-sur-Chiers
Longuyon (Collège)
Morhange
Morhange (Pl. Républiq)
Morhange Jeanne d'Arc
Racrange
Bermering
Bénestroff (Centre)
Vahl-lès-Bénestroff
Nébing
Marimont-lès-Bénestroff
Bassing
Domnon-les-Dieuze
Cutting
Loudrefing
Mittersheim (L'Escale)
Mittersheim
Fénétrange Carrefour Et
Fenetrange-Mairie
Fénétrange (Gendarm.)
Romelfing-Rue-Europe
Berthelming-Mairie
Berthelming
Bettborn-Grand-Rue
Oberstinzel-Rue-Princip
Sarraltroff (Mairie)
Sarrebourg-Méphisto
Sarrebourg-Abri-Phalsbo
Sarrebourg (Place Math)
Berthelming-Principale
Sarraltroff-Gare-SNCF
Remilly-Place-du-11-Nov
Aubecourt
Han-sur-Nied
Vatimont-Mairie
Baudrecourt
Lucy
Chenois
Lesse
Holacourt
Arraincourt
Brulange
Destry
Baronville
St-Jean-de-Bassel-Eglis
Gosselming-Mairie
Gosselming (Poste)
Dolving-Rue-Sarrebourg
Neufchâteau
Neufchâteau Hôpital
Soulosse-Route-National
Martigny-les-Ger. Ctre
Autreville
